run,epoch,val_loss,val_macro_f1,train_loss_epoch,source_log,note
baseline_th03,4,0.279,0.558,0.245,recorded_training_log,logged continuation segment; initial train log file was empty in source artifacts
baseline_th03,5,0.283,0.565,0.226,recorded_training_log,logged continuation segment; initial train log file was empty in source artifacts
baseline_th03,6,0.287,0.563,0.209,recorded_training_log,logged continuation segment; initial train log file was empty in source artifacts
baseline_th03,7,0.294,0.561,0.194,recorded_training_log,logged continuation segment; initial train log file was empty in source artifacts
baseline_th03,8,0.296,0.556,0.195,recorded_training_log,logged continuation segment; initial train log file was empty in source artifacts
baseline_th03,9,0.297,0.557,0.189,recorded_training_log,logged continuation segment; initial train log file was empty in source artifacts
aug_bt_need19947_s42_repaired,4,0.28,0.565,0.296,recorded_training_log,logged continuation segment; initial train log file was empty in source artifacts
aug_bt_need19947_s42_repaired,5,0.283,0.56,0.276,recorded_training_log,logged continuation segment; initial train log file was empty in source artifacts
aug_bt_need19947_s42_repaired,6,0.289,0.562,0.256,recorded_training_log,logged continuation segment; initial train log file was empty in source artifacts
aug_bt_need19947_s42_repaired,7,0.292,0.557,0.241,recorded_training_log,logged continuation segment; initial train log file was empty in source artifacts
aug_bt_need19947_s42_repaired,8,0.295,0.557,0.241,recorded_training_log,logged continuation segment; initial train log file was empty in source artifacts
aug_bt_need19947_s42_repaired,9,0.295,0.559,0.234,recorded_training_log,logged continuation segment; initial train log file was empty in source artifacts
aug_card_scuins_meanir,3,0.282,0.566,0.181,recorded_training_log,logged continuation segment; initial train log file was empty in source artifacts
aug_card_scuins_meanir,4,0.282,0.566,0.163,recorded_training_log,logged continuation segment; initial train log file was empty in source artifacts
aug_card_scuins_meanir,5,0.292,0.564,0.147,recorded_training_log,logged continuation segment; initial train log file was empty in source artifacts
aug_card_scuins_meanir,6,0.295,0.562,0.143,recorded_training_log,logged continuation segment; initial train log file was empty in source artifacts
aug_card_scuins_meanir,7,0.302,0.557,0.133,recorded_training_log,logged continuation segment; initial train log file was empty in source artifacts
aug_card_scuins_meanir,8,0.303,0.559,0.126,recorded_training_log,logged continuation segment; initial train log file was empty in source artifacts
aug_card_scuins_meanir,9,0.305,0.558,0.121,recorded_training_log,logged continuation segment; initial train log file was empty in source artifacts
